brewery_name,street,city,locality,zip_code,full_address
1817 Brewery,100 B South Olive St,okolona,MS,38860,"100 B South Olive St, okolona, MS 38860"
1840 Brewing Company,342 E Ward St,Milwaukee,WI,53207-1348,"342 E Ward St, Milwaukee, WI 53207-1348"
1849 Brewing Company,468 Sutton Way,Grass Valley,CA,95945,"468 Sutton Way, Grass Valley, CA 95945"
1850 Brewing Company,5176 G Highway 49N,Mariposa,CA,95338,"5176 G Highway 49N, Mariposa, CA 95338"
18th Street Brewery,5417 Oakley Ave,Hammond,IN,46320-1817,"5417 Oakley Ave, Hammond, IN 46320-1817"
18th Street Brewery,5725 Miller Ave,Gary,IN,46403-2871,"5725 Miller Ave, Gary, IN 46403-2871"
18th Ward Brewing Co.,300 Richardson Street,Brooklyn,NY,11222,"300 Richardson Street, Brooklyn, NY 11222"
1905 Brewing Company,121 North Chestnut,Assumption,IL,62510,"121 North Chestnut, Assumption, IL 62510"
1912 Brewing,2045 N Forbes Blvd Ste 105,Tucson,AZ,85745-1444,"2045 N Forbes Blvd Ste 105, Tucson, AZ 85745-1444"
192 Brewing,7324 NE 175th St,Kenmore,WA,98028-2500,"7324 NE 175th St, Kenmore, WA 98028-2500"
1933 Brewing Co,3755 Southern Blvd SE,Rio Rancho,NM,87124,"3755 Southern Blvd SE, Rio Rancho, NM 87124"
1940's Brewing Company,1337 Lincoln Ave Unit 1,Holbrook,NY,11741-2275,"1337 Lincoln Ave Unit 1, Holbrook, NY 11741-2275"
1977 Cerveja Artesanal,Rua Joao Calvino 76,Belo Horizonte,Minas Gerais,31520-220,"Rua Joao Calvino 76, Belo Horizonte, Minas Gerais 31520-220"
1984 Brewing LLC,6410 Countryland Dr,Dawsonville,GA,30534-4832,"6410 Countryland Dr, Dawsonville, GA 30534-4832"
1st Republic Brewing Co,39 River Rd Ste 6,Essex Junction,VT,05452-3879,"39 River Rd Ste 6, Essex Junction, VT 05452-3879"
2 Basset Brewery,202 E Main St,White Sulphur Springs,MT,59645-9081,"202 E Main St, White Sulphur Springs, MT 59645-9081"
2 Dogz and A Guy Brewing,228 Church St,Montrose,PA,18801-1271,"228 Church St, Montrose, PA 18801-1271"
2 Doors Down Brewing,112 Warner Ct,Clinton,IL,61727,"112 Warner Ct, Clinton, IL 61727"
2 Feet Brewing Company,80 Columbia St,Bangor,ME,04401-6319,"80 Columbia St, Bangor, ME 04401-6319"
