beer_style,info_link,image_link
English-Style Brown Ale,https://www.craftbeer.com/styles/english-style-brown-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-brown-ale.jpg
English-Style Brown Porter,https://www.craftbeer.com/styles/english-style-brown-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-brown-porter.jpg
English-Style Mild,https://www.craftbeer.com/styles/english-style-dark-mild,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-dark-mild.jpg
English-Style IPA,https://www.craftbeer.com/styles/english-style-india-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-india-pale-ale.jpg
English-Style Oatmeal Stout,https://www.craftbeer.com/styles/english-style-oatmeal-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-oatmeal-stout.jpg
English-Style Old Ale,https://www.craftbeer.com/styles/english-style-old-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-old-ale.jpg
English-Style Pale Ale (ESB),https://www.craftbeer.com/styles/english-style-pale-ale-esb,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-pale-ale-esb.jpg
English-Style Sweet Stout (Milk Stout),https://www.craftbeer.com/styles/english-style-sweet-stout-milk-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/english-style-sweet-stout-milk-stout.jpg
European-Style Export,https://www.craftbeer.com/styles/european-style-export,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/european-style-export.jpg
Fruit and Field Beer,https://www.craftbeer.com/styles/fruit-field-or-flavored,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/fruit-field-or-flavored.jpg
German-Style Bock,https://www.craftbeer.com/styles/german-style-bock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-bock.jpg
German-Style Altbier,https://www.craftbeer.com/styles/german-style-brownaltbier,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-brownaltbier.jpg
German-Style Doppelbock,https://www.craftbeer.com/styles/german-style-doppelbock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-doppelbock.jpg
German-Style Dunkel,https://www.craftbeer.com/styles/german-style-dunkel,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-dunkel.jpg
German-Style Dunkelweizen,https://www.craftbeer.com/styles/german-style-dunkelweizen,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-dunkelweizen.jpg
German-Style Hefeweizen,https://www.craftbeer.com/styles/german-style-hefeweizen,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-hefeweizen.jpg
German-Style Maibock,https://www.craftbeer.com/styles/german-style-heller-bock-maibock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-heller-bock-maibock.jpg
German-Style Helles,https://www.craftbeer.com/styles/german-style-helles,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-helles.jpg
German-Style Kolsch,https://www.craftbeer.com/styles/german-style-kolsch,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-kolsch.jpg
German-Style Marzen / Oktoberfest,https://www.craftbeer.com/styles/german-style-marzen-oktoberfest,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-marzen-oktoberfest.jpg
German-Style Pilsner,https://www.craftbeer.com/styles/german-style-pilsener,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-pilsener.jpg
German-Style Schwarzbier,https://www.craftbeer.com/styles/german-style-schwarzbier,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-schwarzbier.jpg
German-Style Weizenbock,https://www.craftbeer.com/styles/german-style-weizenbock,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/german-style-weizenbock.jpg
Gluten-Free Craft Beer,https://www.craftbeer.com/styles/gluten-free,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/gluten-free.jpg
